Animal ID,Unique ID,Capture Day,P BKA Ecoli,P BKA Staph,Group
2,2-30,30,0.503,0.974837662337662,Contact
4,4-30,30,0.564,0.805194805194805,Contact
19,19-30,30,0.627,0.941558441558442,Contact
33,33-30,30,0.5715,0.578733766233766,Contact
5,5-30,30,0.555,0.818181818181818,Contact
9,9-30,30,0.653,0.593344155844156,Contact
22,22-30,30,0.698,0.839285714285714,Contact
29,29-30,30,0.297,0.804383116883117,Contact
12,12-30,30,0.607,0.831168831168831,Contact
15,15-30,30,0.64,0.862012987012987,Contact
16,16-30,30,0.605,0.855519480519481,Contact
17,17-30,30,0.6035,0.698863636363636,Contact
7,7-30,30,0.308,0.813311688311688,Needle
10,10-30,30,0.4585,0.952922077922078,
11,11-30,30,0.541,0.943181818181818,
13,13-30,30,0.5925,0.970779220779221,
8,8-30,30,0.592,0.712662337662338,
20,20-30,30,0.6195,0.80762987012987,
28,28-30,30,0.4615,0.809253246753246,
32,32-30,30,0.5755,0.725649350649351,
26,26-30,30,0.7025,0.806818181818182,
27,27-30,30,0.378,0.612824675324675,
34,34-30,30,0.801,0.984577922077923,
35,35-30,30,0.6645,0.873376623376623,
2,2-14,14,0.058341862845445,-0.141538017602078,
4,4-14,14,0.228932105083589,0.610445823113548,
5,5-14,14,0.045149550779029,0.961910258259991,
7,7-14,14,0.000568634140794,-0.075746645505699,
8,8-14,14,0.122938701239623,-0.128841437022075,
9,9-14,14,-0.034459228932105,-0.184821815033905,
10,10-14,14,-0.07631070169453,-0.050353484345693,
11,11-14,14,-0.097691345388377,-0.361996825854855,
12,12-14,14,0.046969180029569,0.121627470783437,
13,13-14,14,0.071989082224497,0.357091328812581,
15,15-14,14,0.05788695553281,0.904198528350887,
16,16-14,14,0.024678721710452,0.048910691097966,
17,17-14,14,-0.022176731490959,-0.199249747511181,
19,19-14,14,0.151597861935631,-0.108065214254797,
20,20-14,14,-0.12498578414648,0.033905641321599,
22,22-14,14,0.040145570340043,-0.15365748088299,
26,26-14,14,-0.090412828386216,-0.303707978646659,
27,27-14,14,-0.135448652337086,0.294762660510749,
28,28-14,14,0.013306038894575,0.818208050786322,
29,29-14,14,0.01376094620721,0.26763814745347,
32,32-14,14,-0.176845217786876,-0.038234021064781,
33,33-14,14,0.093369725918344,0.097388544221613,
34,34-14,14,0.056522233594905,-0.081517818496609,
35,35-14,14,-0.007619697486637,-0.177319290145722,
2,2-11,11,0.008788951032987,0.26516901112744,
4,4-11,11,-0.000342426663623,0.074532857442788,
5,5-11,11,-0.067001483848876,0.083350829309259,
7,7-11,11,-0.069284328273028,-0.025824060466093,
8,8-11,11,0.167674922954001,-0.002309468822171,
9,9-11,11,-0.075676292660655,0.06907411295402,
10,10-11,11,-0.035498230795571,0.111064455175309,
11,11-11,11,0.147585892021459,0.015746378332983,
12,12-11,11,0.045314461819427,0.056057106865421,
13,13-11,11,0.032987101929004,0.121562040730631,
15,15-11,11,-0.029106266407944,0.066974595842956,
16,16-11,11,-0.129094852185824,0.030023094688221,
17,17-11,11,-0.228626869078872,0.088809573798026,
19,19-11,11,0.057641821709851,-0.056057106865422,
20,20-11,11,0.05718525282502,0.037161452865841,
22,22-11,11,0.164935509645018,0.163972286374134,
26,26-11,11,0.059924666134003,0.108545034642032,
27,27-11,11,-0.008560666590572,0.083350829309258,
28,28-11,11,-0.021801164250656,0.11694310308629,
29,29-11,11,0.082296541490698,0.092588704597942,
32,32-11,11,-0.049195297340486,0.05017845895444,
33,33-11,11,0.163425452064142,0.150483335737989,
34,34-11,11,0.339019674741272,0.147020631943443,
35,35-11,11,-0.054475150688047,0.238205165199827,
2,2-8,8,0.202615962213879,-0.009766454352442,
4,4-8,8,-0.078415705969638,-0.131219819441529,
5,5-8,8,-0.037324506334893,0.150535376863321,
7,7-8,8,-0.07156717269718,0.042200293932395,
8,8-8,8,0.09371076361146,0.033382322065924,
9,9-8,8,-0.109918959022942,0.060256141087549,
10,10-8,8,0.088231936993494,0.143816922107915,
11,11-8,8,0.099646159114256,0.28112534117153,
12,12-8,8,-0.054674123958452,0.106445517530968,
13,13-8,8,-0.04371647072252,-0.012807054377494,
15,15-8,8,0.119735190046798,0.016166281755196,
16,16-8,8,-0.128181714416162,0.091328994331303,
17,17-8,8,-0.074306586006164,0.074112954020575,
19,19-8,8,0.024312293117224,0.058996430820911,
20,20-8,8,-0.044173039607351,0.124501364686122,
22,22-8,8,0.284556557470608,0.185807264329204,
26,26-8,8,0.080013697066545,0.056477010287634,
27,27-8,8,-0.118593767834722,-0.1140037791308,
28,28-8,8,-0.068827759388198,-0.184967457484779,
29,29-8,8,-0.093482479169045,0.099727062775561,
32,32-8,8,-0.087547083666248,-0.030862901532648,
33,33-8,8,-0.030475973062436,0.090489187486878,
34,34-8,8,-0.040063919643876,0.17363006508503,
35,35-8,8,0.195069056043831,0.088389670375813,
2,2-6,6,0.003996608937871,0.11380042462845,
4,4-6,6,-0.112268378345647,0.163906581740976,
5,5-6,6,-0.156836623470995,0.120169851380042,
7,7-6,6,-0.10015744217028,0.083227176220807,
8,8-6,6,0.083928787695289,0.096390658174098,
9,9-6,6,0.157078842194501,0.158386411889597,
10,10-6,6,0.053409228533365,0.094267515923567,
11,11-6,6,-0.199951556255299,0.239065817409766,
12,12-6,6,-0.014412014048686,0.047983014861996,
13,13-6,6,-0.011989826813613,0.407643312101911,
15,15-6,6,0.020951919583383,0.169851380042463,
16,16-6,6,0.042267167252028,0.504883227176221,
17,17-6,6,0.059706915344556,0.029299363057325,
19,19-6,6,-0.060433571515078,0.106157112526539,
20,20-6,6,-0.030882887247185,0.156687898089172,
22,22-6,6,0.062613540026644,0.147770700636942,
26,26-6,6,-0.229502240523193,-0.034394904458599,
27,27-6,6,0.101852973234831,-0.01104033970276,
28,28-6,6,-0.173307496669493,0.137579617834395,
29,29-6,6,0.050502603851277,0.164755838641189,
32,32-6,6,-0.335594041419402,0.029723991507431,
33,33-6,6,-0.025069637883009,0.131210191082802,
34,34-6,6,-0.010536514472569,0.169426751592357,
35,35-6,6,-0.024100762988979,0.101061571125265,
2,2-4,4,-0.17476577139288,0.105565802321797,
4,4-4,4,-0.157776389756402,0.162417272431377,
5,5-4,4,-0.061336664584635,0.069979385917327,
7,7-4,4,-0.169269206745784,0.063903656287295,
8,8-4,4,-0.07582760774516,0.038298795703591,
9,9-4,4,0.015623107666222,0.093418259023355,
10,10-4,4,0.099430785999758,0.038216560509554,
11,11-4,4,0.024827419159501,0.155838641188959,
12,12-4,4,0.028218481288603,0.104458598726114,
13,13-4,4,-0.012958701707642,0.114649681528662,
15,15-4,4,-0.090468693229987,0.114225053078556,
16,16-4,4,0.034031730652779,0.040764331210191,
17,17-4,4,-0.066731258326269,0.384713375796178,
19,19-4,4,-0.014896451495701,0.081104033970276,
20,20-4,4,-0.058980259174034,0.091295116772824,
22,22-4,4,-0.13455250090832,0.382590233545647,
26,26-4,4,-0.116143877921763,0.218683651804671,
27,27-4,4,-0.09385975535909,0.132059447983015,
28,28-4,4,-0.215937992006783,0.16135881104034,
29,29-4,4,-0.107908441322514,0.130785562632696,
32,32-4,4,-0.120019377497881,0.08619957537155,
33,33-4,4,-0.16991643454039,0.243736730360934,
34,34-4,4,-0.169431997093376,0.041613588110403,
35,35-4,4,0.031609543417706,0.058174097664543,
2,2-2,2,-0.024859462835728,0.08169686448953,
4,4-2,2,-0.167770143660213,0.133340566344798,
5,5-2,2,-0.159275452841974,0.045242486709342,
7,7-2,2,-0.118301061836353,0.025713355755669,
8,8-2,2,0.045596502186134,0.018769664749919,
9,9-2,2,-0.070830730793254,0.109037647824672,
10,10-2,2,-0.01686445971268,0.215362916350222,
11,11-2,2,-0.177763897564023,0.119887165021156,
12,12-2,2,-0.089818863210494,0.361180427470978,
13,13-2,2,0.042598376014991,0.026581317131388,
15,15-2,2,0.013616489693941,0.089508516870999,
16,16-2,2,-0.112804497189257,0.212325051535207,
17,17-2,2,-0.13529044347283,0.053054139090811,
19,19-2,2,-0.134291068082448,0.093848323749593,
20,20-2,2,-0.187257963772642,0.115547358142563,
22,22-2,2,-0.207745159275453,0.119019203645438,
26,26-2,2,-0.144784509681449,0.044374525333623,
27,27-2,2,-0.117801374141162,0.026147336443529,
28,28-2,2,-0.158775765146783,0.06043181078442,
29,29-2,2,-0.021361648969394,0.012693935119887,
32,32-2,2,-0.314178638351031,0.059563849408701,
33,33-2,2,-0.093316677076828,0.08169686448953,
34,34-2,2,0.029606495940037,0.100792014755343,
35,35-2,2,-0.120799500312305,0.061299772160139,
7,7-0,0,0.063085571517801,0.070847347293046,
8,8-0,0,0.02261086820737,0.210589128783769,
10,10-0,0,-0.139287945034354,0.246609525876098,
11,11-0,0,0.057089319175515,0.2166648584138,
13,13-0,0,-0.017863835103061,0.073451231420202,
20,20-0,0,-0.07582760774516,0.280026038841272,
26,26-0,0,-0.005871330418489,0.098188130628187,
27,27-0,0,-0.078825733916303,0.17413475100358,
28,28-0,0,-0.148282323547783,0.226646414234567,
32,32-0,0,-0.047845096814491,0.070847347293046,
34,34-0,0,0.035602748282324,0.192795920581534,
35,35-0,0,-0.251217988757027,0.161549311055658,
